Instrument,File,Time,Chord,Channel
Violin,Violin-1.wav,0,E:min,Channel 1
Violin,Violin-1.wav,1,F#:min,Channel 1
Violin,Violin-1.wav,2,A:maj,Channel 1
Violin,Violin-1.wav,3,D:maj,Channel 1
Violin,Violin-1.wav,4,F#:maj,Channel 1
Violin,Violin-1.wav,5,B:min,Channel 1
Violin,Violin-1.wav,6,C#:maj,Channel 1
Violin,Violin-1.wav,7,G#:min,Channel 1
Violin,Violin-1.wav,8,G#:min,Channel 1
Violin,Violin-1.wav,9,G#:min,Channel 1
Violin,Violin-1.wav,10,G#:min,Channel 1
Violin,Violin-1.wav,0,E:min,Channel 2
Violin,Violin-1.wav,1,F#:min,Channel 2
Violin,Violin-1.wav,2,A:maj,Channel 2
Violin,Violin-1.wav,3,D:maj,Channel 2
Violin,Violin-1.wav,4,F#:maj,Channel 2
Violin,Violin-1.wav,5,B:min,Channel 2
Violin,Violin-1.wav,6,C#:maj,Channel 2
Violin,Violin-1.wav,7,G#:min,Channel 2
Violin,Violin-1.wav,8,G#:min,Channel 2
Violin,Violin-1.wav,9,G#:min,Channel 2
Violin,Violin-1.wav,10,G#:min,Channel 2
Violin,Violin-2.wav,0,G:maj,Channel 1
Violin,Violin-2.wav,1,G:maj,Channel 1
Violin,Violin-2.wav,2,G:maj,Channel 1
Violin,Violin-2.wav,3,G:maj,Channel 1
Violin,Violin-2.wav,4,A:min,Channel 1
Violin,Violin-2.wav,5,A:min,Channel 1
Violin,Violin-2.wav,6,A:min,Channel 1
Violin,Violin-2.wav,7,G:min,Channel 1
Violin,Violin-2.wav,8,G:min,Channel 1
Violin,Violin-2.wav,9,D:maj,Channel 1
Violin,Violin-2.wav,10,D:maj,Channel 1
Violin,Violin-2.wav,0,G:maj,Channel 2
Violin,Violin-2.wav,1,G:maj,Channel 2
Violin,Violin-2.wav,2,G:maj,Channel 2
Violin,Violin-2.wav,3,G:maj,Channel 2
Violin,Violin-2.wav,4,F#:min,Channel 2
Violin,Violin-2.wav,5,A:min,Channel 2
Violin,Violin-2.wav,6,A:min,Channel 2
Violin,Violin-2.wav,7,G:min,Channel 2
Violin,Violin-2.wav,8,G:min,Channel 2
Violin,Violin-2.wav,9,D:maj,Channel 2
Violin,Violin-2.wav,10,D:maj,Channel 2
Violin,Violin-3.wav,0,A:maj,Channel 1
Violin,Violin-3.wav,1,G:maj,Channel 1
